Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
0,90.04616137272062,201750.7956813523,0.7281922713415482,0.31614722233131665,0.009000029743,109.63,1.121
1,96.60305596584051,203898.5387111312,0.7147017123325111,0.30522903223437164,0.009000000728999999,109.63,1.121
2,103.93221086035082,196472.97864171883,0.7111101929182898,0.2942707728281901,0.009000039704999999,109.63,1.121
3,98.60902876779303,200443.23049426507,0.7324524998242105,0.3021089714956156,0.009000029356999999,109.63,1.121
4,95.73674570666849,204841.2547225055,0.7263172118685101,0.30660729733452696,0.00900002332,109.63,1.121
5,96.20164424137779,206948.03213453,0.7210464183279108,0.30586488041320786,0.008999983695999999,109.63,1.121
6,101.17286439715542,201650.9213213942,0.7219643056482223,0.2982559537313999,0.008999995439,109.63,1.121
7,93.22399061826923,206140.31863507009,0.7263458763661269,0.3107125028134366,0.009000054685,109.63,1.121
8,100.50316207710883,203594.2439717285,0.7231408003811461,0.2992480070464506,0.008999994818999999,109.63,1.121
9,98.55684804668631,206872.2741629034,0.7163470516889147,0.3021888483630075,0.009000024112999999,109.63,1.121
10,100.84306534396711,198212.70474747402,0.7101486324911389,0.29874348791344374,0.009000008776,109.63,1.121
11,95.353380578083,207852.40650787778,0.7308528524697036,0.30722292670175044,0.009000017189,109.63,1.121
12,94.8138101057643,205918.53430771382,0.735415570213397,0.3080956400222523,0.009000004034,109.63,1.121
13,91.02515924368717,202655.98184128522,0.7303726348689646,0.31444253522464194,0.009000031422,109.63,1.121
14,90.7766796735305,201043.69828681403,0.7330758657156018,0.3148725625282501,0.009000029453999999,109.63,1.121
15,94.79052619043229,205525.4159352351,0.7282359484315258,0.30813394231442054,0.009000031198,109.63,1.121
16,93.48156717888929,202193.7130620786,0.7282918630983884,0.31028399629230796,0.009000046165,109.63,1.121
17,94.06601906817346,204058.11268056868,0.7276441457228232,0.30931852248308406,0.009000043713999999,109.63,1.121
18,94.27623494193651,205983.10775631553,0.7339585068657711,0.30897292747794186,0.009000011939,109.63,1.121
19,93.90091616829993,204499.68816704504,0.7323532782502715,0.3095893531191639,0.008999986605,109.63,1.121
20,91.40535319178721,210772.69857355722,0.7300791034403462,0.3137873073967059,0.008999997237999999,109.63,1.121
21,96.88868069799626,201511.52544383353,0.73131107400622,0.304779243297418,0.00900002706,109.63,1.121
22,102.5824263207773,203300.6885951679,0.7127476468904217,0.29620034926694805,0.009000032952,109.63,1.121
23,92.27636248031838,208519.2658010947,0.7306891656547709,0.31230301702932406,0.009000006558999999,109.63,1.121
24,101.68218024942989,197133.72013509538,0.7220150795502566,0.297508774588381,0.009000039344,109.63,1.121
25,95.28116320288079,205891.14496638047,0.7344120276404864,0.3073390949248887,0.009000003253,109.63,1.121
26,88.743701263401,201780.1676296341,0.7344195381666176,0.31845914938448194,0.009000051602999999,109.63,1.121
27,94.16682632215898,208488.61757739494,0.7317147660393636,0.309152286125602,0.009000007234,109.63,1.121
28,99.5775416402957,201652.86497492297,0.7128297772418192,0.3006361476748499,0.009000026658000001,109.63,1.121
29,90.98363931324131,210605.1869351268,0.7280138900403438,0.3145139578177483,0.009000013316,109.63,1.121
30,95.91857421957191,198512.3677144618,0.7170902340980807,0.30631733622411406,0.009000069599,109.63,1.121
31,92.54454270520438,207654.09406926145,0.7395756829654109,0.31184976247144475,0.008999982168000001,109.63,1.121
32,100.9942044981582,194458.15555621634,0.7173135380787651,0.2985200184427727,0.009000017881,109.63,1.121
33,101.06388336919566,194880.244509471,0.7082997313129634,0.29841689832817,0.009000006149000001,109.63,1.121
34,92.11991684113693,198554.39834595734,0.7204402209962352,0.31256800464605317,0.009000001419,109.63,1.121
35,107.82100943207166,197980.16847089573,0.7109084896162188,0.28891502186777024,0.009000023424000001,109.63,1.121
36,98.02880906585033,199916.8948584497,0.7245934440307382,0.3030012134293898,0.008999999016,109.63,1.121
37,95.28947876603033,201942.92839424175,0.7151774885839389,0.3073257000259532,0.009000004165,109.63,1.121
38,94.39628861978679,204943.48487475776,0.7417142527272595,0.30877644219989975,0.009000015081,109.63,1.121
39,91.28129377837202,199209.75597577458,0.7222665668469639,0.31400069360357175,0.009000010202,109.63,1.121
40,92.83082785103355,203094.3357638273,0.7354885868265383,0.3113691294002111,0.009000016966999999,109.63,1.121
41,99.74316099397016,196219.20779350522,0.7135389414150332,0.3003865935976116,0.009000035437,109.63,1.121
42,95.07912477277073,204422.39920620355,0.73424135193813,0.307666035592651,0.009000036822,109.63,1.121
43,97.88424159431061,198734.60952585147,0.7239903868547263,0.30322502548329483,0.009000007321,109.63,1.121
44,100.88898491070218,200702.21962317618,0.7174819335549455,0.2986755262464781,0.009000010737,109.63,1.121
45,92.64119064763995,198412.13907557278,0.7257925633701883,0.31168845938531387,0.009000063482,109.63,1.121
46,94.63703082453246,198372.59581011112,0.717384563212155,0.3083826215660965,0.008999966611,109.63,1.121
47,85.78509317326287,212396.80767487042,0.7545129341264187,0.3239037027207377,0.009000023692,109.63,1.121
48,99.39997788883296,199304.79357218996,0.716260549992742,0.30090450140204417,0.009000023783000001,109.63,1.121
49,102.5302934951706,197262.58664318203,0.7258878364081848,0.2962754671185156,0.00900002226,109.63,1.121
50,95.18642713973352,204594.3870370427,0.724333571971134,0.30749188967698454,0.008999996832000002,109.63,1.121
51,93.70238600961103,208399.1929149312,0.7293173150160109,0.3099177938489222,0.009000024123,109.63,1.121
52,96.5350843659254,201283.5449137523,0.7300825303401294,0.3053368985465893,0.009000025923,109.63,1.121
53,97.41720263740122,203048.43552482582,0.7215054548267399,0.30395082270315854,0.00899999568,109.63,1.121
54,99.99872714607329,200764.19434054525,0.7210193511624516,0.3000019580660901,0.009000002925999999,109.63,1.121
55,107.9368067526248,200020.1661860892,0.7042880191786967,0.28875966916009865,0.009000002637,109.63,1.121
56,92.14034200679151,202629.14860880823,0.7299958185579494,0.3125338202436137,0.00900002801,109.63,1.121
57,94.29013281189825,199325.634239554,0.725528841643867,0.3089503297071384,0.009000022051,109.63,1.121
58,104.09400622483594,192856.53957678942,0.7071135827644744,0.29404118043806576,0.008999990240999999,109.63,1.121
59,101.82356903507329,200429.32600160976,0.7245251173728802,0.2973020823666738,0.009000035400999999,109.63,1.121
60,95.56509152519902,202206.82588159895,0.7249615705586678,0.3068828568517145,0.009000042018,109.63,1.121
61,90.91574315086334,202240.73859557623,0.7253939223851603,0.3146316476413961,0.009000028862,109.63,1.121
62,100.57430816868568,206428.97199159107,0.7235805789801867,0.2991430349726024,0.009000048397,109.63,1.121
63,92.92696610668945,205102.06428515405,0.7374961619226387,0.3112071665790072,0.008999967424000001,109.63,1.121
64,95.46983039754188,199506.10878374605,0.7190547769333725,0.30703517796545865,0.008999998242,109.63,1.121
65,100.19243168809756,197265.54703987006,0.7158757476821856,0.29971193605996466,0.00900001007,109.63,1.121
66,104.55277588613792,196358.725616474,0.7132137935088331,0.2933951270578897,0.008999976195999999,109.63,1.121
67,96.32659619796954,198803.29032912425,0.7202392427608981,0.3056673273659489,0.009000036146,109.63,1.121
68,92.75080008074815,199327.15332064425,0.7386720177347208,0.311503273686389,0.009000007987999999,109.63,1.121
69,97.20989443138342,205151.33155444165,0.7299531919161365,0.3042752313903354,0.009000024138000001,109.63,1.121
70,96.83982532286306,207531.2786026394,0.7379362155867923,0.3048551587425883,0.008999970676999999,109.63,1.121
71,90.76235140346074,202445.9143113032,0.7211251919621647,0.314896215295027,0.008999960857,109.63,1.121
72,96.1762230357389,198600.09199130634,0.7274054911592645,0.30590543174276863,0.008999991407,109.63,1.121
73,94.29633116753178,205803.18564694916,0.7383080212580124,0.3089392620846404,0.008999968834,109.63,1.121
74,103.70978345169566,194832.59900474228,0.708568670120434,0.294586071426716,0.009000033893,109.63,1.121
75,90.645152849918,203569.49463387902,0.7375560781777069,0.3151012276021101,0.009000046969000001,109.63,1.121
76,85.39778742303615,206424.41125761654,0.7235851894922789,0.324638306635677,0.00900007539,109.63,1.121
77,94.65802394685167,204977.6605606336,0.7202909459770175,0.30834862777532684,0.008999978545,109.63,1.121
78,100.53916666118577,205666.63778062508,0.7162238272139044,0.29919495995948037,0.009000027325,109.63,1.121
79,96.20509949496079,211008.15014358412,0.7511710918132959,0.305860382663675,0.009000042249000001,109.63,1.121
80,97.16774647132576,203305.2409058101,0.715161067653482,0.30434084691329777,0.009000002297000001,109.63,1.121
81,100.34068498225481,201513.3761740479,0.7326689031761778,0.2994908979476815,0.009000037466,109.63,1.121
82,92.76566313501853,207802.0365177462,0.7310963568402435,0.3114781537240056,0.008999998499,109.63,1.121
83,93.6494149060841,209404.9182955275,0.7273709701650518,0.3100057310254105,0.009000041534,109.63,1.121
84,98.19913521390602,206451.8369048732,0.7168034148238175,0.3027385494275014,0.00900001254,109.63,1.121
85,92.87748456113628,205062.17723978322,0.724737914000286,0.31129042432599713,0.008999988772,109.63,1.121
86,100.11523797289222,199002.64663786048,0.7172016455377223,0.29982780328353514,0.009000030677,109.63,1.121
87,95.20639592034027,203913.55458157195,0.7358244556575941,0.30745964672497317,0.008999997167,109.63,1.121
88,96.18431100875725,202007.33981237956,0.7245876420589465,0.3058927350391223,0.009000001122,109.63,1.121
89,96.6882359689916,203227.50394238252,0.7266134395621132,0.3050946151082992,0.009000004398999999,109.63,1.121
90,95.96462667105867,203725.9335471932,0.7247785312928718,0.30624322017100186,0.009000033866,109.63,1.121
91,100.52629514256807,203009.22452530844,0.7235945652976589,0.2992144331810335,0.009000046526,109.63,1.121
92,94.28303365289788,208152.63211333507,0.739541731872176,0.30896172594111687,0.009000008363,109.63,1.121
93,91.37506156102292,209073.21531657223,0.7335448402332682,0.313839341902403,0.008999998798,109.63,1.121
94,95.73865194489842,200481.60565987704,0.7289654347736035,0.3066041928243885,0.009000020262,109.63,1.121
95,93.28235708437178,200707.09723587593,0.7305861913182804,0.3106140685323148,0.008999984382,109.63,1.121
96,96.97465916384253,198197.89045405027,0.7175722026622051,0.30464443193458196,0.009000046463,109.63,1.121
97,74.8100471275989,203357.5174532449,0.718689981690294,0.34684921562037174,0.008999976215999999,109.63,1.121
98,83.92504125399243,207365.20800997963,0.7355171049396952,0.3274736729958088,0.009000038044999999,109.63,1.121
99,99.3203952700907,206886.42188530302,0.7211230853959177,0.3010250769971549,0.00900002657,109.63,1.121
100,92.63373730377538,203383.71704625487,0.7363219770711379,0.31170063423031485,0.009000042451,109.63,1.121
101,119.84947487762221,200672.60429020366,0.6969060956447216,0.2740339861176051,0.009000051438000001,109.63,1.121
102,89.21705828625059,210023.9674355176,0.7445446354816226,0.31761288662855325,0.009000033566,109.63,1.121
103,102.15581609874683,207093.3624238819,0.7306660739608379,0.296817970910309,0.009000020141,109.63,1.121
104,92.82096319889945,204226.64820354147,0.7258461290619093,0.3113857358554927,0.009000020513,109.63,1.121
105,93.48894633599964,206770.7078166695,0.7360282033792223,0.3102708453027703,0.008999993647,109.63,1.121
106,93.90944052928303,210193.30722371815,0.744136060563446,0.3095750510855959,0.008999972030000001,109.63,1.121
107,98.9246890648247,203309.81883541658,0.7282851152824639,0.3016261423323846,0.009000002981,109.63,1.121
108,98.99728407583382,197183.7353476992,0.7187737458389267,0.3015167343635417,0.009000074858,109.63,1.121
109,84.59593043820477,210797.15651555412,0.722378699514824,0.3261720731175587,0.009000010567,109.63,1.121
110,96.8784617767949,204263.3968245102,0.7354766188439191,0.30479475502184944,0.008999993859000001,109.63,1.121
111,95.40353428170492,206071.36002004752,0.7341405104250629,0.30714273863096486,0.009000050956999999,109.63,1.121
112,93.9348995958355,196839.7191131803,0.708116974333607,0.30953387409743904,0.009000017257,109.63,1.121
113,104.2807380316923,197112.47668180615,0.7067521215134728,0.2937780923203554,0.009000008278,109.63,1.121
114,97.79877643274997,205770.22473530783,0.7246750814894939,0.3033584250910244,0.009000062872,109.63,1.121
115,116.36754784410316,200790.3054167878,0.7176178172344201,0.2781037996540098,0.009000066696,109.63,1.121
116,95.06932171549215,204338.70455504698,0.7318233826837052,0.30768201573074244,0.009000043729999999,109.63,1.121
117,96.44533373271038,206143.0190127523,0.7235034433848213,0.305479282854458,0.009000046328,109.63,1.121
118,98.35999424855993,202486.86207430658,0.7217929033650672,0.3024911838719814,0.009000029603,109.63,1.121
119,94.36981268752947,202023.3667415399,0.7277153655955009,0.3088201747085195,0.009000039628,109.63,1.121
120,91.42626031998726,206051.82302791715,0.73238089377723,0.31375166522576314,0.009000010888000001,109.63,1.121
121,96.24171737870054,197526.38091765117,0.7199892001545607,0.30580195805112026,0.009000028566,109.63,1.121
122,92.20719988226084,202914.83717189,0.7281886822160241,0.3124208554285367,0.009000048879,109.63,1.121
123,99.6552686578242,198360.79265874779,0.7283736323329587,0.3005193282971172,0.009000053337,109.63,1.121
124,103.84528366598894,201091.0081325718,0.7236308501904644,0.2943940083568658,0.009000045615,109.63,1.121
125,98.7325866884662,200035.44227880173,0.7178412322184802,0.301920151502219,0.009000045742,109.63,1.121
126,93.80563638852999,200524.31907217394,0.7350745303373458,0.3097475062765438,0.00900004273,109.63,1.121
127,99.07147601024542,198707.71817403272,0.7242561760460593,0.3014033711662279,0.009000048388999999,109.63,1.121
128,91.65003677334525,206248.20810471877,0.733759736862056,0.3133691431670421,0.009000053764,109.63,1.121
129,93.00761323117784,196812.79142393533,0.7296031992724167,0.3110737892132782,0.009000058626,109.63,1.121
130,106.25892281698854,194642.088235999,0.7153129668335544,0.29103108408074363,0.009000034269,109.63,1.121
131,88.77747500239627,208457.84938173887,0.7418721507636327,0.3183979273604425,0.009000015403,109.63,1.121
132,95.12830977662414,204196.7782284367,0.734333520421664,0.30758588075601795,0.009000001302999999,109.63,1.121
133,93.10865358049661,211252.62801420956,0.7291755138826299,0.3109046360374391,0.009000040061,109.63,1.121
134,103.14864522527273,204404.82259691067,0.7248292031392324,0.29538594200716095,0.009000013757999999,109.63,1.121
135,99.58129279980122,202531.97540567548,0.7311530898338708,0.30062981017750545,0.008999986239,109.63,1.121
136,97.63332115852774,197441.45511313542,0.713472277813159,0.3036149554351076,0.00900003883,109.63,1.121
137,96.49642342428032,203192.17040482952,0.7301514356861132,0.30539730516718455,0.008999981523,109.63,1.121
138,92.4911160684678,205707.89598042067,0.7390377588926988,0.31194060971866805,0.009000027851,109.63,1.121
139,105.92575341319609,194118.59064542924,0.7173537755012105,0.29148847092804475,0.00900003764,109.63,1.121
140,97.46734075335719,200783.9422543223,0.7459320069533973,0.30387332649504584,0.009000036636999999,109.63,1.121
141,93.22775533813504,207431.79581049195,0.7365048629200978,0.3107046308059895,0.008999962088,109.63,1.121
142,98.92357933440852,201230.60261243538,0.7289449359128173,0.30162787946855213,0.009000005685,109.63,1.121
143,98.36787366673343,196338.8209138956,0.7106477060497994,0.3024789160747084,0.009000020525,109.63,1.121
